,公司中文名称,评级日期,评级类型,信用评级,评级展望,评级机构代码,债券主体公司id,信用评级说明,前次信用评级,评级变动方向,评级对象类型代码,公告日期
1301,中国冶金科工股份有限公司,2017-07-19,1,AAA,"518,003,000",13,3II504CDCE,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,AAA,维持,"536,001,001",2017-07-24
1302,江西省铁路投资集团公司,2017-06-27,1,AA+,"518,003,000",2,iy4vKAdZ4K,0,AA+,维持,"536,001,001",2017-06-28
1303,福清市国有资产营运投资有限公司,2017-08-29,1,AA,"518,003,000",2,2020127,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-09-06
1304,株洲市城市建设发展集团有限公司,2017-06-26,1,AA+,"518,003,000",5,3IRA2FF113,0,AA+,维持,"536,001,001",2017-06-26
1305,盐城市盐都区国有资产投资经营有限公司,2017-06-22,1,AA,"518,003,000",6,6dasd1CcnH,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-27
1306,深圳市特区建设发展集团有限公司,2017-07-27,1,AAA,"518,003,000",2,hnnH8EPJca,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-27
1307,浙江省德清县交通投资集团有限公司,2017-06-30,1,AA-,"518,003,000",4,m4tjID7BKY,0,AA-,维持,"536,001,001",2017-07-03
1308,北京金泰房地产开发有限责任公司,2017-06-26,1,AA-,"518,003,000",6,dKM4qFY5ON,0,AA-,维持,"536,001,001",2017-06-28
1309,浙江桐昆控股集团有限公司,2017-07-25,1,AA,"518,003,000",13,4WF88CF63F,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-07-31
1310,长沙先导投资控股集团有限公司,2017-07-26,1,AA+,"518,003,000",2,J13CC28A,0,AA+,维持,"536,001,001",2017-07-27
1311,新干县城乡建设投资开发有限责任公司,2017-06-16,1,AA-,"518,003,000",14,781484334,0,AA-,维持,"536,001,001",2017-06-20
1312,长春现代农业产业建设有限公司,2017-06-27,1,AA,"518,003,000",6,16U2894CBF,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
1313,华夏幸福基业股份有限公司,2016-11-30,1,AAA,0,13,08A3CAA5A0,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,0,首次,"536,002,001",2017-08-14
1314,上海宝龙实业发展有限公司,2017-06-14,1,AA+,"518,003,000",5,NJUbbVKd2f,0,0,首次,"536,001,001",2017-07-07
1315,舟山市定海区城乡建设集团有限公司,2017-05-26,1,AA,"518,003,000",13,tc1eoj9A8O,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,0,首次,"536,001,001",2017-08-03
1316,华能资本服务有限公司,2017-06-27,1,AAA,"518,003,000",13,1AV632F3C1,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,AAA,维持,"536,001,001",2017-07-05
1317,中信证券(山东)有限责任公司,2016-07-15,5,BBB,0,15,502036665,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,AA,调低,"536,002,000",2017-07-31
1318,阜阳交通能源投资有限公司,2017-07-26,1,AA,"518,003,000",19,lbu7sL2CMJ,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-07-31
1319,江苏省建工集团有限公司,2017-06-29,1,AA,"518,003,000",13,CA4EBC,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-07-03
1320,中国东方资产管理股份有限公司,2017-06-01,1,AAA,"518,003,000",2,2002699,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,0,首次,"536,001,001",2017-09-01
1321,宿迁市城市建设投资(集团)有限公司,2017-08-11,1,AA+,"518,003,000",7,731741021,0,0,首次,"536,002,002",2017-08-14
1322,海南省发展控股有限公司,2017-08-28,1,AA+,"518,003,000",2,45V9440B6D,0,AA+,维持,"536,001,001",2017-08-29
1323,张家港市直属公有资产经营有限公司,2017-06-28,1,AA+,"518,003,000",2,4WG5B46624,0,AA+,维持,"536,001,001",2017-06-28
1324,山东齐悦科技有限公司,2017-05-19,1,AA,"518,003,000",6,UibALeU1ZI,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,0,首次,"536,001,001",2017-07-10
1325,云南沃森生物技术股份有限公司,2017-06-23,1,A,"518,002,000",5,2AF3DB4F44,A级债还本付息能力较强，尽管其还本付息能力易受内外部不确定因素不良变化的影响，但风险较低。,A,维持,"536,001,001",2017-06-26
1326,海通恒信国际租赁股份有限公司,2017-07-11,1,AAA,"518,003,000",4,BGr1EQB0zE,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,001,001",2017-07-17
1327,三明市城市建设投资集团有限公司,2017-06-26,1,AA,"518,003,000",2,oSmWFpvAZm,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-28
1328,安徽省交通控股集团有限公司,2017-07-18,1,AAA,"518,003,000",5,502042173,AAA级债为最高级债，其还本付息能力最强。,AAA,维持,"536,001,001",2017-07-18
1329,北京天恒置业集团有限公司,2017-04-14,1,AA,"518,003,000",2,08P98FBC69,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,0,首次,"536,001,001",2017-07-27
1330,重庆高速公路股份有限公司,2017-07-18,1,AA+,"518,003,000",5,HIVxdMOi6s,0,AA+,维持,"536,001,001",2017-07-18
1331,中国水利水电第五工程局有限公司,2017-07-26,1,AA+,"518,003,000",4,SnKjjIdj5c,0,AA+,维持,"536,001,001",2017-07-31
1332,巴中市国有资产经营管理有限责任公司,2017-06-22,1,AA,"518,003,000",14,71rkO0Oj7G,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-28
1333,新疆中泰(集团)有限责任公司,2017-07-13,1,AA+,0,13,d47n41QHbj,0,AA+,维持,"536,001,001",2017-07-14
1334,招商局蛇口工业区控股股份有限公司,2017-06-19,1,AAA,"518,003,000",2,2002345,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-06-20
1335,重庆市江津区滨江新城开发建设有限公司,2017-07-18,1,AA,"518,003,000",2,686219153,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,0,首次,"536,001,001",2017-09-05
1336,黄石市城市建设投资开发有限责任公司,2017-06-09,1,AA,"518,003,000",14,47U4F00D51,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-20
1337,广东广珠城际轨道交通有限责任公司,2017-07-18,1,AA+,"518,003,000",4,LUTQU6Q58c,0,AA+,维持,"536,001,001",2017-07-19
1338,天津中环半导体股份有限公司,2017-07-10,1,AA,"518,003,000",19,2K99284512,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-07-10
1339,马鞍山钢铁股份有限公司,2017-09-14,1,AA+,"518,003,000",5,1600808,0,AA+,维持,"536,001,001",2017-09-15
1340,南京扬子国资投资集团有限责任公司,2017-07-06,1,AAA,"518,003,000",2,ltDYzOO6kz,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-18
1341,东北中小企业信用再担保股份有限公司,2017-06-22,1,AA+,"518,003,000",19,8JaAqHkNg4,0,AA+,维持,"536,002,001",2017-06-22
1342,山东莒县农村商业银行股份有限公司,2017-07-27,1,AA-,"518,003,000",19,lHuW3ljhII,0,AA-,维持,"536,001,001",2017-07-31
1343,张家界市经济发展投资集团有限公司,2017-07-20,1,AA,"518,003,000",7,F4DFE,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,0,首次,"536,002,002",2017-08-04
1344,江门新会农村商业银行股份有限公司,2017-07-14,1,AA,"518,003,000",2,5iMzf8vccy,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,0,首次,"536,001,001",2017-08-09
1345,江油鸿飞投资(集团)有限公司,2017-06-07,1,AA-,"518,003,000",14,CB2C89,0,AA-,维持,"536,001,001",2017-06-27
1346,山东高速集团有限公司,2017-06-21,1,AAA,"518,003,000",14,1H643620FB,债务安全性极高，违约风险极低。,AAA,维持,"536,001,001",2017-06-28
1347,江苏辉丰农化股份有限公司,2017-06-19,1,AA,"518,003,000",14,2AF46DE3E7,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-23
1348,海口美兰国际机场有限责任公司,2017-06-15,1,AA+,"518,003,000",7,0LTF524DD9,0,AA,调高,"536,001,001",2017-06-27
1349,华夏银行股份有限公司,2017-07-14,1,AAA,"518,003,000",2,08M399B152,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-14
1350,南京新港开发总公司,2016-12-29,1,AA+,0,19,2018603,0,0,首次,"536,002,001",2017-07-12
1351,泛海控股股份有限公司,2017-06-23,1,AA+,"518,003,000",19,1000046,0,AA+,维持,"536,001,001",2017-06-23
1352,滨州市中海创业投资经营有限公司,2017-06-28,1,AA-,"518,003,000",14,772076128,0,AA-,维持,"536,001,001",2017-06-29
1353,广东省广新控股集团有限公司,2017-06-28,1,AA+,"518,003,000",7,04H6B4E0FA,0,AA+,维持,"536,001,001",2017-06-30
1354,重庆三峡担保集团股份有限公司,2017-06-23,1,AA+,0,14,6e0o2QbI7Z,0,AA+,维持,"536,002,001",2017-06-28
1355,泰安市泰山投资有限公司,2017-06-24,1,AA+,"518,003,000",14,4JG60D7E05,0,AA+,维持,"536,001,001",2017-06-27
1356,徽商银行股份有限公司,2017-07-21,1,AAA,"518,003,000",2,0L789EAD9F,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-24
1357,中证信用增进股份有限公司,2017-06-27,1,AAA,0,5,zUFJA6DqDr,AAA级债为最高级债，其还本付息能力最强。,AAA,维持,"536,002,001",2017-06-27
1358,杭州经济技术开发区资产经营集团有限公司,2017-06-20,1,AA+,"518,003,000",4,h7SAmx34c5,0,AA,调高,"536,001,001",2017-06-22
1359,华泰期货有限公司,2017-06-28,1,AA+,"518,003,000",4,04N99B0C73,0,AA+,维持,"536,001,001",2017-07-04
1360,莆田市高新技术产业园开发有限公司,2017-06-22,1,AA,"518,003,000",2,746372572,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA-,调高,"536,001,001",2017-06-23
1361,鞍山高新技术产业投资有限公司,2017-06-29,1,AA-,"518,003,000",2,683716736,0,AA-,维持,"536,001,001",2017-06-29
1362,天津滨海新区建设投资集团有限公司,2017-05-24,1,Baa1,"518,003,000",16,3IU5024CFA,"Baa级债务有中等信用风险。这些债务属于中等评级，因此有某些投机特征,修正数字1表示该债务在所属同类评 级中排位较高",A3,调低,"536,002,002",2017-05-24
1363,南京江宁城市建设集团有限公司,2017-06-28,1,AA+,"518,003,000",6,93DdKUunYJ,0,AA+,维持,"536,001,001",2017-07-04
1364,江苏凤凰出版传媒集团有限公司,2017-06-26,1,AAA,"518,003,000",4,F517C,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,001,001",2017-06-27
1365,遵义市汇川区城市建设投资经营有限公司,2017-07-03,1,AA,0,19,uXUYBvEM5J,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,0,首次,"536,002,001",2017-07-24
1366,景洪市国有资产投资有限公司,2017-06-22,1,AA-,"518,003,000",14,cuzcineWCT,0,AA-,维持,"536,001,001",2017-06-28
1367,江西省能源集团公司,2017-08-10,1,AA-,0,2,0P87D8111F,0,AA-,维持,"536,001,001",2017-08-11
1368,宝钢集团广东韶关钢铁有限公司,2017-07-11,1,AA-,"518,003,000",2,2007573,0,AA-,维持,"536,001,001",2017-07-12
1369,深圳市洪涛装饰股份有限公司,2017-02-23,1,AA,"518,003,000",4,3cBC0751D6,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
1370,四川雅化实业集团股份有限公司,2017-06-30,1,AA,"518,003,000",2,2AF43A9207,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-30
1371,广发证券资产管理(广东)有限公司,2017-08-14,5,AA,0,15,uLizTNTeYF,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,BBB,调高,"536,002,000",2017-08-14
1372,内江人和国有资产经营有限责任公司,2017-06-25,1,AA-,"518,003,000",14,782298226,0,AA-,维持,"536,001,001",2017-06-28
1373,梅州市康达公路建设有限公司,2017-06-09,1,AA,"518,003,000",14,RTz7fNxLmX,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-22
1374,东旭集团有限公司,2017-06-27,1,AA+,"518,003,000",14,sgpSlfH7vI,0,AA+,维持,"536,001,001",2017-06-28
1375,黄石农村商业银行股份有限公司,2017-06-16,1,A,"518,003,000",5,vTMNT59oPG,A级债还本付息能力较强，尽管其还本付息能力易受内外部不确定因素不良变化的影响，但风险较低。,0,首次,"536,001,001",2017-06-26
1376,昆明滇池投资有限责任公司,2017-06-13,1,AA+,"518,003,000",14,3IN4D2EFD9,0,AA+,维持,"536,001,001",2017-06-26
1377,重庆渝康资产经营管理有限公司,2017-05-08,1,AAA,"518,003,000",5,tEmCTYwM7o,AAA级债为最高级债，其还本付息能力最强。,0,首次,"536,001,001",2017-07-21
1378,扬州市江都沿江开发有限公司,2017-07-26,1,AA,"518,003,000",14,JGlbpxi8bn,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-07-31
1379,贵阳高科控股集团有限公司,2017-07-25,1,AA,"518,003,000",4,730956768,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-27
1380,双鸭山市大地城市建设开发投资有限公司,2017-06-14,1,AA-,"518,003,000",14,GvSoc2mHsQ,0,AA-,维持,"536,001,001",2017-06-26
1381,中合中小企业融资担保股份有限公司,2016-05-27,1,AAA,"518,003,000",14,dJjAbiHMUh,债务安全性极高，违约风险极低。,0,首次,"536,001,001",2017-07-21
1382,新奥生态控股股份有限公司,2017-06-27,1,AA,"518,003,000",5,1600803,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-06-27
1383,宁乡经济技术开发区建设投资有限公司,2017-06-22,1,AA,"518,003,000",14,ubtbHYdTBN,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-28
1384,中银集团投资有限公司,2017-09-19,1,AAA,"518,003,000",2,0KS509694D,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-09-19
1385,广发证券资产管理(广东)有限公司,2016-07-15,5,BBB,0,15,uLizTNTeYF,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,AA,调低,"536,002,000",2017-07-31
1386,昆山银桥控股集团有限公司,2017-06-29,1,AA+,"518,003,000",4,fgK8oZEcM3,0,AA+,维持,"536,001,001",2017-06-30
1387,绍兴银行股份有限公司,2016-05-05,1,AA,"518,003,000",2,502038363,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-24
1388,兴证证券资产管理有限公司,2015-07-17,5,AA,0,15,GYqV7QyRGV,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内最高，能够较好控制业务风险,0,首次,"536,002,000",2017-07-31
1389,中合中小企业融资担保股份有限公司,2017-07-24,1,AAA,0,7,dJjAbiHMUh,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,0,首次,"536,002,001",2017-08-07
1390,龙岩工贸发展集团有限公司,2017-05-26,1,AA,"518,003,000",13,MI7M7BAmLH,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,0,首次,"536,001,001",2017-07-13
1391,河南盛润控股集团有限公司,2017-07-18,1,AA,"518,003,000",14,AI1oGNd339,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-07-21
1392,财达证券股份有限公司,2017-08-14,5,BBB,0,15,502036595,公司风险管理能力、市场竞争力、培育和发展机构投资者状况、持续合规状况的综合评价在行业内较高，能够控制业务风险,A,调低,"536,002,000",2017-08-14
1393,杉杉集团有限公司,2017-09-15,1,AA+,"518,003,000",4,2019282,0,AA+,维持,"536,001,001",2017-09-15
1394,江苏省信用再担保集团有限公司,2017-07-27,1,AAA,0,4,2N8602B2BA,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,002,001",2017-07-31
1395,广东省盐业集团有限公司,2017-07-27,1,AA,"518,003,000",2,HaqdczQlDq,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-28
1396,建安投资控股集团有限公司,2017-06-25,1,AA,"518,003,000",14,2NP6241C9E,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
1397,泸州市兴泸投资集团有限公司,2016-06-30,1,AA+,0,19,2N1463D76D,0,AA,调高,"536,002,001",2017-08-31
1398,郑州中瑞实业集团有限公司,2017-08-22,1,AA+,"518,003,000",6,lTMbCt7k9d,0,AA+,维持,"536,001,001",2017-08-25
1399,安徽省皖北煤电集团有限责任公司,2017-07-27,1,AA,"518,003,000",5,0y94C95630,AA级债属高级债，其还本付息能力很强，基本无风险。,AA-,调高,"536,001,001",2017-07-27
1400,浙江大东南集团有限公司,2017-08-18,1,AA,"518,002,000",6,2NA47C3C40,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-08-21
1401,康得新复合材料集团股份有限公司,2017-07-03,1,AA+,"518,003,000",4,0S2BAD3704,0,AA+,维持,"536,001,001",2017-07-06
1402,曲靖市开发投资有限责任公司,2017-06-23,1,AA,"518,003,000",2,bK4Jm6xsmc,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-26
1403,宜兴市城市发展投资有限公司,2017-06-22,1,AA+,"518,003,000",4,48JA49BB85,0,AA+,维持,"536,001,001",2017-06-26
1404,深圳市宝鹰建设控股集团股份有限公司,2017-07-26,1,AA,"518,003,000",2,0SM3B0F100,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-07-27
1405,南京新港东区建设发展有限公司,2017-09-08,1,AA,"518,003,000",19,v5aBpB6F2e,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-09-11
1406,重庆出版集团有限公司,2017-06-26,1,AA,"518,003,000",14,yvo9CGOrLN,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
1407,重庆市德感工业园区建设有限公司,2017-06-23,1,AA,"518,003,000",19,745323568,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-06-28
1408,保利协鑫(苏州)新能源有限公司,2017-06-19,1,AA+,"518,003,000",13,7xhLEnfkyg,0,AA+,维持,"536,001,001",2017-06-20
1409,上海大名城企业股份有限公司,2017-06-22,1,AA,"518,001,000",7,1600094,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-24
1410,云南城投置业股份有限公司,2017-05-09,1,AA,"518,003,000",7,1600239,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-07-25
1411,保利南方集团有限公司,2017-07-27,1,AAA,"518,003,000",2,1HS30D441F,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-28
1412,安徽马鞍山农村商业银行股份有限公司,2017-07-21,1,AA-,"518,003,000",5,502045754,0,AA-,维持,"536,001,001",2017-07-21
1413,茂名市交通建设投资集团有限公司,2017-08-10,1,AA,"518,003,000",14,9nJNj1Dyzo,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-08-11
1414,上海紫江(集团)有限公司,2017-07-27,1,AA+,"518,003,000",2,2007670,0,AA+,维持,"536,001,001",2017-07-28
1415,中信国安有限公司,2017-06-26,1,AA+,"518,003,000",4,602394,0,AA+,维持,"536,001,001",2017-06-28
1416,长安责任保险股份有限公司,2017-07-18,1,AA-,"518,003,000",6,2FI7DBEB3E,0,AA-,维持,"536,001,001",2017-07-19
1417,苍南县国有资产投资集团有限公司,2017-06-20,1,AA,"518,003,000",19,UVqyBQEg3D,偿还债务的能力很强，受不利经济环境影响大，违约风险很低,AA,维持,"536,001,001",2017-06-22
1418,许昌市投资总公司,2017-07-28,1,AA,"518,003,000",6,F4DFF,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-08-09
1419,福建阳光集团有限公司,2017-06-26,1,AA+,"518,003,000",6,0826054A79,0,AA,调高,"536,001,001",2017-06-29
1420,亿达发展有限公司,2017-06-21,1,AA,"518,003,000",7,mQ4VBfAKgJ,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-22
1421,中债信用增进投资股份有限公司,2017-07-25,1,AAA,"518,003,000",19,3ID9303623,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,AAA,维持,"536,002,001",2017-07-25
1422,吉林省东北袜业园产业投资有限公司,2016-12-09,1,A-,"518,003,000",14,s5FWDVlGQt,0,0,首次,"536,001,001",2017-09-01
1423,辽阳城市资本经营有限公司,2017-06-29,1,AA,"518,002,000",4,PmtQIHHYkL,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-30
1424,盐城市大丰区城建国有资产经营有限公司,2017-06-27,1,AA,"518,003,000",14,RbGRijpHcY,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-06-29
1425,上海浦东发展(集团)有限公司,2017-06-28,1,AAA,"518,003,000",4,06T8974612,短期债务的支付能力和长期债务的偿还能力具有最大保障；经营处于良性循环状态，不确定因素对经营与发展的影响最小；偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。,AAA,维持,"536,001,001",2017-06-30
1426,赣州发展投资控股集团有限责任公司,2017-07-06,1,AA+,"518,003,000",14,48F9BE0277,0,AA+,维持,"536,001,001",2017-07-10
1427,云南鸿翔一心堂药业(集团)股份有限公司,2017-08-08,1,AA,"518,003,000",5,2AF3DB5B3A,AA级债属高级债，其还本付息能力很强，基本无风险。,AA,维持,"536,001,001",2017-09-06
1428,华融金融租赁股份有限公司,2017-07-28,1,AAA,"518,003,000",2,F8AB4,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-31
1429,开封新区基础设施建设投资有限公司,2017-07-27,1,AA,"518,003,000",4,4JL91ADC74,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-28
1430,东港投资发展集团有限公司,2016-01-20,1,AA,"518,003,000",13,148768016,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,0,首次,"536,001,001",2017-06-29
1431,北京京能清洁能源电力股份有限公司,2017-07-20,1,AAA,"518,003,000",5,IBjZA4TYNO,AAA级债为最高级债，其还本付息能力最强。,AAA,维持,"536,001,001",2017-07-20
1432,新希望集团有限公司,2017-06-12,1,AAA,"518,003,000",2,16VB1210B9,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,AAA,维持,"536,001,001",2017-07-28
1433,江苏武进经济发展集团有限公司,2017-08-04,1,AA+,"518,003,000",4,q795E3phSZ,0,AA+,维持,"536,001,001",2017-08-07
1434,荥阳市城市投资开发有限责任公司,2017-06-26,1,AA-,"518,003,000",2,NdyTB0IIID,0,AA-,维持,"536,001,001",2017-06-27
1435,临汾市投资集团有限公司,2017-06-02,1,AA,"518,003,000",6,2yWIKpC3zO,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-22
1436,深圳市高新投集团有限公司,2016-11-16,1,AAA,"518,003,000",13,0SJ6A2EC4C,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,AAA,维持,"536,002,001",2017-07-06
1437,阳泉煤业(集团)股份有限公司,2017-07-04,1,AA+,"518,003,000",6,0813B24A43,0,AA+,维持,"536,001,001",2017-07-06
1438,新疆绿原国有资产经营集团有限公司,2017-06-27,1,AA,"518,003,000",2,164D441E45,受评对象偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低。,AA,维持,"536,001,001",2017-06-28
1439,镇江国有投资控股集团有限公司,2017-07-27,1,AA,"518,003,000",6,2N74E501DE,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-07-27
1440,珠海华发综合发展有限公司,2017-06-27,1,AA+,"518,003,000",7,Dk3uWFSBC1,0,AA+,维持,"536,001,001",2017-06-27
1441,杭州余杭城市建设集团有限公司,2017-06-30,1,AA+,"518,003,000",4,47JA2BE8E2,0,AA+,维持,"536,001,001",2017-07-03
1442,常州市武进城市建设投资有限责任公司,2017-06-28,1,AA,"518,003,000",4,478AE7994E,短期债务的支付能力和长期债务的偿还能力很强；经营处于良性循环状态，不确定因素对经营与发展的影响很小；偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低。,AA,维持,"536,001,001",2017-06-29
1443,望城经济开发区铜官循环经济工业基地投资开发建设有限公司,2017-06-12,1,AA,"518,003,000",5,675598151,AA级债属高级债，其还本付息能力很强，基本无风险。,0,首次,"536,001,001",2017-07-04
1444,华夏人寿保险股份有限公司,2017-06-30,1,AA+,"518,003,000",4,04S4F10C80,0,AA+,维持,"536,001,001",2017-07-04
1445,湖北农谷实业集团有限责任公司,2017-08-02,1,AA,"518,003,000",14,f88dlqvrLu,债务安全性很高，违约风险很低。,AA,维持,"536,001,001",2017-08-04
1446,漳州市交通发展集团有限公司,2017-06-23,1,AA,"518,003,000",7,bQgNNRlmeY,偿还债务的能力很强，受不利经济环境的影响不大，违约风险很低,AA,维持,"536,001,001",2017-06-27
1447,北京市顺义区国有资本经营管理中心,2017-07-28,1,AA+,"518,003,000",6,11B14D,0,AA+,维持,"536,001,001",2017-07-31
1448,银川市产城资本投资控股有限公司,2017-08-22,1,AA+,"518,003,000",7,o3eU17dYW6,0,0,首次,"536,001,001",2017-09-04
1449,浙江桐昆控股集团有限公司,2017-06-23,1,AA,"518,003,000",13,4WF88CF63F,受评主体偿还债务的能力很强，受不利经济环境的影响较小，违约风险很低；债券信用质量很高，信用风险很低。,AA,维持,"536,001,001",2017-07-03
